event_id,event_class,item,form_type,ticker,company,cik,accession_no,filing_date,accepted_at_et,event_session,first_full_session,benchmark_entry_date,period_of_report,index_name,point_in_time,in_benchmark_run,items_in_filing,sic_code,state_of_inc,source_url,confidence,ticker_mapping,rule_version
2.05-0001193125-05-004660,item_2_05_restructuring,2.05,8-K,TER,TERADYNE INC,97210,0001193125-05-004660,2005-01-11,2005-01-11T16:04:04,after_market,2005-01-12,2005-01-12,2005-01-07,SP500,True,True,2.05,3825,MA,https://www.sec.gov/Archives/edgar/data/97210/000119312505004660/,1.0,edgar_current,item_filter_v1
2.05-0000055785-05-000141,item_2_05_restructuring,2.05,8-K,KMB,KIMBERLY CLARK CORP,55785,0000055785-05-000141,2005-07-22,2005-07-22T06:37:28,pre_market,2005-07-22,2005-07-25,2005-07-20,SP500,True,True,"2.02,2.05",2670,DE,https://www.sec.gov/Archives/edgar/data/55785/000005578505000141/,1.0,edgar_current,item_filter_v1
2.05-0000217346-05-000093,item_2_05_restructuring,2.05,8-K,TXT,TEXTRON INC,217346,0000217346-05-000093,2005-12-07,2005-12-07T11:49:13,market_hours,2005-12-08,2005-12-08,2005-12-07,SP500,True,True,2.05,3720,DE,https://www.sec.gov/Archives/edgar/data/217346/000021734605000093/,1.0,edgar_current,item_filter_v1
2.05-0000930413-06-003876,item_2_05_restructuring,2.05,8-K,PBI,PITNEY BOWES INC /DE/,78814,0000930413-06-003876,2006-05-18,2006-05-18T15:54:13,market_hours,2006-05-19,2006-05-19,2006-05-12,SP500,True,True,"1.01,1.02,2.05,7.01",3579,DE,https://www.sec.gov/Archives/edgar/data/78814/000093041306003876/,1.0,edgar_current,item_filter_v1
2.05-0001072613-07-000045,item_2_05_restructuring,2.05,8-K,BSX,BOSTON SCIENTIFIC CORP,885725,0001072613-07-000045,2007-01-09,2007-01-08T17:47:23,after_market,2007-01-09,2007-01-10,2007-01-08,SP500,True,True,"2.05,9.01",3841,DE,https://www.sec.gov/Archives/edgar/data/885725/000107261307000045/,1.0,edgar_current,item_filter_v1
2.05-0001193125-07-183978,item_2_05_restructuring,2.05,8-K,AMGN,AMGEN INC,318154,0001193125-07-183978,2007-08-15,2007-08-15T17:09:30,after_market,2007-08-16,2007-08-16,2007-08-15,SP500,True,True,"2.05,7.01,9.01",2836,DE,https://www.sec.gov/Archives/edgar/data/318154/000119312507183978/,1.0,edgar_current,item_filter_v1
2.05-0000950123-08-003864,item_2_05_restructuring,2.05,8-K,MRK,SCHERING PLOUGH CORP,310158,0000950123-08-003864,2008-04-04,2008-04-04T17:27:59,after_market,2008-04-07,2008-04-07,2008-04-02,SP500,True,True,"2.05,9.01",2834,NJ,https://www.sec.gov/Archives/edgar/data/310158/000095012308003864/,1.0,edgar_current,item_filter_v1
2.05-0000217346-08-000140,item_2_05_restructuring,2.05,8-K,TXT,TEXTRON INC,217346,0000217346-08-000140,2008-10-16,2008-10-16T08:01:07,pre_market,2008-10-16,2008-10-17,2008-10-16,SP500,True,True,"2.02,2.05,2.06,9.01",3720,DE,https://www.sec.gov/Archives/edgar/data/217346/000021734608000140/,1.0,edgar_current,item_filter_v1
2.05-0000950137-08-014637,item_2_05_restructuring,2.05,8-K,MSI,MOTOROLA INC,68505,0000950137-08-014637,2008-12-30,2008-12-30T17:14:57,after_market,2008-12-31,2008-12-31,2008-12-23,SP500,True,True,2.05,3663,DE,https://www.sec.gov/Archives/edgar/data/68505/000095013708014637/,1.0,edgar_current,item_filter_v1
2.05-0001157523-09-003568,item_2_05_restructuring,2.05,8-K,ANSS,ANSYS INC,1013462,0001157523-09-003568,2009-05-07,2009-05-07T09:00:20,pre_market,2009-05-07,2009-05-08,2009-05-07,NASDAQ100,False,False,"2.02,2.05,9.01",7372,DE,https://www.sec.gov/Archives/edgar/data/1013462/000115752309003568/,1.0,edgar_current,item_filter_v1
